student_id,avg_percentage,best_score,worst_score,first_score,latest_score,tests_attempted,performance_band,improvement,name,ability_level,attendance_category,risk_level,intervention_required
RN0180,28.06,63.83,6.38,16.98,44.74,49,At Risk,27.76,Dinesh Pillai,Weak,Poor,High Risk,Yes
RN1814,28.09,61.9,11.32,11.32,52.63,47,At Risk,41.31,Ojaswini Pillai,Weak,Average,High Risk,Yes
RN0942,28.11,55.74,2.13,39.62,34.21,49,At Risk,-5.41,Piyush Sodhi,Weak,Poor,High Risk,Yes
RN0847,28.13,55.77,5.26,33.96,18.42,49,At Risk,-15.54,Vandana Naik,Weak,Average,High Risk,Yes
RN0248,28.23,70.18,5.45,16.98,34.21,50,At Risk,17.23,Swati Singh,Weak,Poor,High Risk,Yes
RN0176,28.3,60.0,5.0,28.3,26.32,49,At Risk,-1.99,Pari Hegde,At Risk,Good,High Risk,Yes
RN1838,28.34,54.76,2.13,40.43,15.79,46,At Risk,-24.64,Tushar Kapoor,Weak,Average,High Risk,Yes
RN0973,28.37,51.79,4.44,18.87,36.84,47,At Risk,17.97,Vivaan Sen,Weak,Average,High Risk,Yes
RN1560,28.6,69.23,2.13,13.21,26.32,50,At Risk,13.11,Kamal Chatterjee,Weak,Average,High Risk,Yes
RN1658,28.71,57.89,10.71,33.96,23.68,48,At Risk,-10.28,Lakshmi Bhat,Weak,Average,High Risk,Yes
RN1964,28.74,55.74,2.56,18.87,15.79,49,At Risk,-3.08,Pallavi Kulkarni,Weak,Poor,High Risk,Yes
RN0547,28.81,64.1,7.5,28.3,44.74,48,At Risk,16.43,Barkha Shetty,At Risk,Excellent,High Risk,Yes
RN1414,28.84,61.7,5.13,43.4,23.68,50,At Risk,-19.71,Naveen Rao,Weak,Poor,High Risk,Yes
RN0164,28.85,51.16,4.92,22.64,18.42,48,At Risk,-4.22,Priya Anand,At Risk,Excellent,High Risk,Yes
RN0969,28.9,58.93,4.44,15.09,23.68,47,At Risk,8.59,Deepa Pillai,At Risk,Excellent,High Risk,Yes
RN1116,28.95,56.82,8.7,22.64,21.05,49,At Risk,-1.59,Yash Gowda,At Risk,Excellent,High Risk,Yes
RN0539,28.98,58.97,5.0,28.3,50.0,50,At Risk,21.7,Vaishnavi Malhotra,At Risk,Excellent,High Risk,Yes
RN1366,29.07,52.73,6.38,26.42,31.58,47,At Risk,5.16,Kavya Dhillon,At Risk,Excellent,High Risk,Yes
RN1017,29.29,53.33,4.76,39.62,52.63,50,At Risk,13.01,Deepika Murthy,Weak,Average,High Risk,Yes
RN0812,29.32,56.82,7.41,35.85,13.16,50,At Risk,-22.69,Ishita Sodhi,At Risk,Excellent,High Risk,Yes
RN1583,29.32,62.75,6.67,22.64,28.95,50,At Risk,6.31,Gayatri Grover,At Risk,Excellent,High Risk,Yes
RN1644,29.35,56.41,5.66,11.11,39.47,45,At Risk,28.36,Jatin Dutta,Weak,Average,High Risk,Yes
RN1449,29.36,55.1,4.26,50.94,21.05,50,At Risk,-29.89,Ayush Chawla,Weak,Average,High Risk,Yes
RN0470,29.38,64.44,8.51,20.75,34.21,48,At Risk,13.46,Uma Sodhi,Weak,Average,High Risk,Yes
RN1308,29.4,71.11,1.59,28.3,39.47,49,At Risk,11.17,Arjun Das,At Risk,Excellent,High Risk,Yes
RN0636,29.5,64.44,4.08,41.51,21.05,49,At Risk,-20.46,Sandeep Sharma,At Risk,Excellent,High Risk,Yes
RN0728,29.52,63.83,0.0,26.42,31.58,48,At Risk,5.16,Raman Choudhury,Weak,Average,High Risk,Yes
RN1207,29.56,55.32,7.89,32.08,7.89,49,At Risk,-24.18,Himanshu Shetty,Weak,Average,High Risk,Yes
RN0822,29.59,53.85,8.2,30.19,28.95,48,At Risk,-1.24,Bharat Joshi,At Risk,Excellent,High Risk,Yes
RN0136,29.63,62.5,5.13,20.75,23.68,46,At Risk,2.93,Abha Malhotra,At Risk,Excellent,High Risk,Yes
RN1921,29.72,55.77,10.26,28.3,10.53,49,At Risk,-17.78,Nandini Chawla,At Risk,Excellent,High Risk,Yes
RN0699,29.83,60.71,4.26,23.4,44.74,46,At Risk,21.33,Tanvi Pradhan,Weak,Average,High Risk,Yes
RN0265,29.86,62.96,1.82,15.09,39.47,47,At Risk,24.38,Manoj Dhillon,Weak,Average,High Risk,Yes
RN0402,29.87,50.0,5.88,18.87,47.37,49,At Risk,28.5,Jaideep Rao,Weak,Average,High Risk,Yes
RN1882,29.88,55.81,5.13,13.21,26.32,46,At Risk,13.11,Akash Roy,At Risk,Excellent,High Risk,Yes
RN1698,29.95,57.45,8.51,24.53,13.16,48,At Risk,-11.37,Rajesh Gowda,At Risk,Excellent,High Risk,Yes
RN0166,30.01,59.62,10.64,33.96,34.21,46,At Risk,0.25,Aniruddh Jain,At Risk,Excellent,High Risk,Yes
RN0772,30.01,53.7,6.78,39.62,36.84,48,At Risk,-2.78,Raman Pillai,Weak,Average,High Risk,Yes
RN0859,30.11,67.27,7.5,33.96,31.58,48,At Risk,-2.38,Suresh Choudhury,At Risk,Excellent,High Risk,Yes
RN1363,30.28,61.82,3.39,58.49,42.11,47,At Risk,-16.39,Neha Mishra,Weak,Average,High Risk,Yes
RN0972,30.31,62.75,8.33,26.42,18.42,49,At Risk,-7.99,Zara Shetty,At Risk,Excellent,High Risk,Yes
RN1513,30.32,62.22,0.0,33.96,20.75,45,At Risk,-13.21,Sakshi Sen,Weak,Average,High Risk,Yes
RN1511,30.33,56.41,3.7,50.94,18.42,50,At Risk,-32.52,Nandini Kumar,At Risk,Excellent,High Risk,Yes
RN1101,30.52,51.92,7.41,39.62,34.21,49,At Risk,-5.41,Tejaswini Choudhury,Weak,Good,High Risk,Yes
RN1025,30.55,60.0,6.38,28.3,36.84,50,At Risk,8.54,Nidhi Nair,Weak,Average,High Risk,Yes
RN1191,30.61,58.14,6.52,32.08,47.37,49,At Risk,15.29,Jatin Mishra,Weak,Good,High Risk,Yes
RN0226,30.63,58.97,3.17,47.17,31.58,49,At Risk,-15.59,Om Shenoy,Weak,Average,High Risk,Yes
RN1822,30.64,78.57,6.25,37.74,18.42,48,At Risk,-19.31,Vijay Joshi,Weak,Average,High Risk,Yes
RN0481,30.7,57.69,6.98,33.96,18.42,47,At Risk,-15.54,Kriti Singh,Weak,Average,High Risk,Yes
RN1679,30.7,62.22,4.76,30.19,18.42,48,At Risk,-11.77,Uma Nayak,Weak,Average,High Risk,Yes
RN0115,30.72,57.78,4.26,33.96,5.26,46,At Risk,-28.7,Meera Pillai,Weak,Good,High Risk,Yes
RN0552,30.75,61.36,5.13,49.06,34.21,47,At Risk,-14.85,Deepika Mukherjee,Weak,Good,High Risk,Yes
RN1405,30.76,64.1,5.13,22.64,23.68,48,At Risk,1.04,Harish Sharma,Weak,Average,High Risk,Yes
RN0644,30.85,56.82,6.67,35.85,34.21,49,At Risk,-1.64,Ishita Malhotra,At Risk,Excellent,High Risk,Yes
RN1082,30.93,65.96,6.98,35.85,28.95,45,At Risk,-6.9,Manav Shetty,Weak,Average,High Risk,Yes
RN1053,30.94,64.15,2.5,35.85,39.47,49,At Risk,3.62,Brijesh Choudhury,At Risk,Excellent,High Risk,Yes
RN0811,31.1,73.81,5.88,28.3,36.84,47,At Risk,8.54,Saanvi Malhotra,At Risk,Excellent,High Risk,Yes
RN1813,31.23,64.44,6.38,47.17,13.16,49,At Risk,-34.01,Monika Kulkarni,Weak,Average,High Risk,Yes
RN0687,31.26,57.14,2.17,24.53,44.74,49,At Risk,20.21,UrVashi Rai,At Risk,Excellent,High Risk,Yes
RN1249,31.35,51.16,12.82,45.28,18.42,47,At Risk,-26.86,Nidhi Shenoy,Weak,Average,High Risk,Yes
RN1827,31.37,55.56,15.09,15.09,50.0,47,At Risk,34.91,Kriti Naik,Weak,Good,High Risk,Yes
RN1073,31.42,60.71,10.26,47.17,28.95,48,At Risk,-18.22,Kiran Kapoor,Weak,Average,High Risk,Yes
RN1898,31.45,64.58,5.13,32.08,47.37,50,At Risk,15.29,Ipshita Jain,Weak,Good,High Risk,Yes
RN0528,31.47,76.36,7.84,22.64,23.68,47,At Risk,1.04,Vandana Verma,At Risk,Excellent,High Risk,Yes
RN0334,31.58,60.38,4.44,60.38,42.11,49,At Risk,-18.27,Mehak Menon,At Risk,Excellent,High Risk,Yes
RN0261,31.59,52.27,6.38,36.17,13.16,45,At Risk,-23.01,Poonam Malhotra,Weak,Average,High Risk,Yes
RN0152,31.72,68.75,6.98,16.98,31.58,48,At Risk,14.6,Harish Mehta,At Risk,Excellent,High Risk,Yes
RN0012,31.77,66.67,5.56,13.21,44.74,49,At Risk,31.53,Suresh Pai,Weak,Average,High Risk,Yes
RN1162,31.79,52.63,11.11,39.62,52.63,47,At Risk,13.01,Kriti Das,Weak,Good,High Risk,Yes
RN1800,31.88,73.81,4.35,26.42,23.68,47,At Risk,-2.73,Nitish Tiwari,Weak,Good,High Risk,Yes
RN0726,32.01,57.38,10.71,39.62,39.47,50,At Risk,-0.15,Manoj Acharya,At Risk,Excellent,High Risk,Yes
RN1194,32.03,60.78,6.78,30.19,26.32,48,At Risk,-3.87,Yamini Banerjee,At Risk,Excellent,High Risk,Yes
RN0192,32.08,64.29,3.77,49.06,39.47,50,At Risk,-9.58,Kriti Grover,Weak,Average,High Risk,Yes
RN1537,32.22,68.42,5.26,32.08,5.26,48,At Risk,-26.81,Rashmi Ray,Weak,Average,High Risk,Yes
RN0492,32.25,63.64,5.13,37.74,21.05,48,At Risk,-16.68,Pallavi Roy,Weak,Good,High Risk,Yes
RN1321,32.29,61.7,10.91,50.94,34.21,49,At Risk,-16.73,Meera Prabhu,Weak,Average,High Risk,Yes
RN0280,32.37,63.64,4.26,19.15,44.74,46,At Risk,25.59,Nitin Dhillon,Weak,Average,High Risk,Yes
RN0817,32.37,70.91,7.69,35.85,47.37,49,At Risk,11.52,Jatin Tiwari,Weak,Average,High Risk,Yes
RN1828,32.41,62.22,11.63,32.08,36.84,46,At Risk,4.77,Garima Sen,Weak,Average,High Risk,Yes
RN0188,32.45,61.7,5.77,15.09,26.32,49,At Risk,11.22,Nidhi Iyer,Weak,Good,High Risk,Yes
RN0509,32.47,61.02,5.88,60.38,37.74,48,At Risk,-22.64,Nitish Shenoy,Weak,Good,High Risk,Yes
RN1065,32.47,59.26,8.51,49.06,44.74,48,At Risk,-4.32,Suhas Sodhi,Weak,Good,High Risk,Yes
RN1663,32.47,62.5,7.41,35.85,18.42,50,At Risk,-17.43,Charu Dutta,Weak,Average,High Risk,Yes
RN0355,32.49,74.36,12.96,30.19,31.58,48,At Risk,1.39,Monika Hegde,Weak,Average,High Risk,Yes
RN0593,32.62,79.55,7.69,43.4,39.47,49,At Risk,-3.92,Pari Mehra,Weak,Good,High Risk,Yes
RN0242,32.71,56.25,10.53,37.74,10.53,49,At Risk,-27.21,Umesh Pandey,Weak,Good,High Risk,Yes
RN1904,32.79,54.72,6.82,41.51,39.47,47,At Risk,-2.04,Himanshu Jain,Weak,Good,High Risk,Yes
RN1615,32.89,53.33,10.0,50.94,39.47,50,At Risk,-11.47,Payal Gowda,Weak,Good,High Risk,Yes
RN0290,33.05,79.49,10.64,28.3,18.42,45,At Risk,-9.88,Neha Jain,Weak,Good,High Risk,Yes
RN1526,33.33,59.09,7.69,36.17,42.11,48,At Risk,5.94,Chetan Prasad,Weak,Good,High Risk,Yes
RN1811,33.52,64.91,2.13,43.4,13.16,45,At Risk,-30.24,Gagan Menon,Weak,Good,High Risk,Yes
RN0029,33.56,62.26,12.5,62.26,28.95,47,At Risk,-33.32,Arunima Prabhu,Weak,Average,High Risk,Yes
RN0892,33.62,57.14,7.27,49.06,55.26,47,At Risk,6.21,Ritu Sen,Weak,Good,High Risk,Yes
RN0200,33.66,61.54,8.7,33.96,47.37,49,At Risk,13.41,Naveen Patel,Weak,Good,High Risk,Yes
RN0516,33.66,60.47,8.51,18.87,34.21,50,At Risk,15.34,Pradeep Kamath,Weak,Average,High Risk,Yes
RN0073,33.85,61.54,7.69,50.94,16.98,48,At Risk,-33.96,Anita Shetty,Weak,Good,High Risk,Yes
RN1433,33.99,68.18,8.51,20.75,44.74,47,At Risk,23.98,Pallavi Verma,Weak,Average,High Risk,Yes
RN0936,34.03,70.91,11.86,22.64,26.32,50,At Risk,3.67,Komal Chatterjee,Weak,Good,High Risk,Yes
RN0401,34.12,57.45,9.8,18.87,23.68,48,At Risk,4.82,Bhumika Nayak,Weak,Good,High Risk,Yes
RN1788,34.17,62.75,12.82,28.3,31.58,49,At Risk,3.28,Nisha Kapoor,Weak,Good,High Risk,Yes
RN1165,34.19,59.18,4.76,49.06,31.58,49,At Risk,-17.48,Payal Patel,Weak,Good,High Risk,Yes
RN1412,34.19,66.04,8.51,41.51,47.37,50,At Risk,5.86,Nisha Bhat,Weak,Good,High Risk,Yes
RN0741,34.2,60.0,2.13,32.08,42.11,49,At Risk,10.03,Zara Grover,Weak,Good,High Risk,Yes
RN0356,34.25,62.96,10.0,49.06,39.47,49,At Risk,-9.58,Alka Reddy,Weak,Good,High Risk,Yes
RN1695,34.26,67.92,4.65,67.92,34.21,49,At Risk,-33.71,Manoj Gill,Weak,Good,High Risk,Yes
RN0617,34.36,72.09,13.16,33.96,42.11,49,At Risk,8.14,Rajesh Mukherjee,Weak,Good,High Risk,Yes
RN0260,34.39,63.27,7.84,33.96,34.21,47,At Risk,0.25,Yashaswini Kamath,Weak,Good,High Risk,Yes
RN0613,34.39,64.58,12.77,33.96,23.68,48,At Risk,-10.28,Tanvi Nayak,Weak,Good,High Risk,Yes
RN1771,34.53,57.89,4.08,37.74,57.89,46,At Risk,20.16,Drishti Pradhan,Weak,Good,High Risk,Yes
RN0078,34.55,60.78,6.38,41.51,28.95,50,At Risk,-12.56,Nisha Bose,Weak,Average,High Risk,Yes
RN1864,34.66,56.14,9.8,33.96,47.37,48,At Risk,13.41,Swati Verma,Weak,Good,High Risk,Yes
RN1666,34.73,68.18,9.84,22.64,55.26,46,At Risk,32.62,Piyush Banerjee,Weak,Good,High Risk,Yes
RN0222,34.81,58.73,14.89,32.08,39.62,47,At Risk,7.55,Anjali Gowda,Weak,Average,High Risk,Yes
RN0275,34.84,69.64,12.82,41.51,21.05,47,At Risk,-20.46,Riya Deshmukh,Weak,Good,High Risk,Yes
RN0514,34.94,71.43,11.11,67.92,28.95,46,At Risk,-38.98,Akash Menon,Weak,Good,High Risk,Yes
RN1251,39.22,68.09,9.26,37.74,55.26,47,Needs Support,17.53,Yashaswini Mukherjee,Average,Poor,High Risk,Yes
RN0489,39.68,70.73,11.11,64.15,44.74,48,Needs Support,-19.41,Uma Rao,Average,Poor,High Risk,Yes
RN1393,40.37,78.69,12.82,50.94,63.16,50,Needs Support,12.21,Aniruddh Chawla,Average,Poor,High Risk,Yes
RN0042,41.31,64.29,15.0,58.49,42.11,48,Needs Support,-16.39,Vandana Sen,Average,Poor,High Risk,Yes
